Date,Description,Category,Amount
2026-03-01,VIT Mess Fee Setup,Academics,4500.00
2026-03-02,HostelMart - Maggi & Chips,Food,120.00
2026-03-03,Stationery Shop,Academics,85.00
2026-03-05,Myntra - Hakama Pants,Fashion,1850.00
2026-03-06,Campus Nescafe,Food,45.00
2026-03-07,Steam - Cyberpunk 2077 Phantom Liberty,Entertainment,1499.00
2026-03-08,Dominos Pizza - Weekend Treat,Food,650.00
2026-03-10,HostelMart - Soap & Shampoo,Essentials,250.00
2026-03-12,NSS Camp Registration,Activities,500.00
2026-03-14,Bhopal Auto Rickshaw,Transport,150.00
2026-03-14,Movie Tickets - Parde Screening,Entertainment,400.00
2026-03-15,Hostel Kiosk - Snacks,Food,90.00
2026-03-15,Hostel Kiosk - Snacks,Food,90.00
2026-03-18,Steam - Ghost of Tsushima PC,Entertainment,3299.00
2026-03-20,Laundry Services,Essentials,180.00
2026-03-22,Unexpected AWS Cloud Charge,Software,2850.00
2026-03-25,Campus Nescafe,Food,50.00
2026-03-27,Urbanic - Oversized T-Shirt,Fashion,899.00
2026-03-28,Zomato Late Night,Food,420.00
2026-03-29,HostelMart - Notebooks,Academics,150.00